id,date,user_id,year,usa_boulders,name,climb_type
1703,970869600,35,2000,V5,"predicamente p'oso",1
1704,970869600,35,2000,V5,"Smoove B",1
1705,970869600,35,2000,V5,"Bidness left",1
1706,970869600,35,2000,V5,"Poser Special",1
1707,970869600,35,2000,V4,"predicamente direct",1
1708,970696800,35,2000,V5,"The Business",1
1709,970696800,35,2000,V4,"Business Casual",1
1710,970696800,35,2000,V5,"The Commute",1
1711,969660000,35,2000,V5,"Tips Traverse",1
1729,946681200,126,2000,V4,"banana fingers",1
1740,946681200,128,2000,V11,"verlängerte durchein",1
1749,930780000,101,1999,V10,"Stu's Roof",1
1750,959810400,101,2000,V11,"curious yellow rh",1
1751,949359600,101,2000,V11,"keel eliminate",1
1779,947286000,5,2000,V6,"The Hole",1
1782,920242800,5,1999,V8,Napolean,1
1795,938728800,135,1999,V10,Shingles,1
1796,946681200,135,2000,V11,"The Bomb",1
1872,952210800,5,2000,V8,"The Eliminator",1
1873,957132000,5,2000,V6,"Back in the Saddle",1
1874,939160800,5,1999,V4,Mentos,1
1896,936828000,136,1999,V7,Negerleppen,1
1961,971474400,12,2000,V8,ilutionen,1
1964,971474400,12,2000,V6,??????,1
1965,965599200,12,2000,V8,"starke staffan",1
1966,965426400,12,2000,V7,pilsner,1
1971,915145200,145,1999,V12,Violation,1
1972,883609200,145,1998,V12,Mondfinsternis,1
1973,973033200,145,2000,V12,Fatman,1
1974,954540000,145,2000,V13,Gourmandise,1
1975,915145200,145,1999,V12,"Le surplomb de la...",1
1976,915145200,145,1999,V9,"Coup de feel",1
1977,915145200,145,1999,V11,"L'Intégrale Autre Toit",1
1978,958341600,145,2000,V14,"Brad Pitt SD",1
1979,958341600,145,2000,V12,"No Mercy",1
1980,883609200,145,1998,V12,Butterball,1
1981,883609200,145,1998,V12,Yoni,1
1982,883609200,145,1998,V13,?,1
1983,941410800,145,1999,V13,"Lèopard cave",1
1984,941410800,145,1999,V13,"Oral Office",1
1985,941410800,145,1999,V13,"The Vice",1
